factors,overall,male,female,18-24,25-34,35+,CentralRegions,OtherRegions
product quality (nutrition information),61.01,57.98,63.77,65.22,57.43,57.27,63.87,59.17,
value for money/price,43.29,44.15,42.51,42.39,40.59,47.27,41.94,44.17
product specifications,43.04,40.43,45.41,45.65,46.53,35.45,41.29,44.17
expert advice,21.77,18.62,24.64,29.35,18.81,11.82,27.10,18.33,
product familiarity,20.76,20.21,21.26,21.74,21.78,18.18,17.42,22.92,
shopping convenience,15.7,14.89,16.43,13.04,14.85,20.91,22.58,11.25,
brand reputation,7.09,10.64,3.86,5.98,8.91,7.27,7.74,6.67,
other,2.28,3.19,1.45,1.09,3.96,2.73,2.58,2.08
